NAICS2_NAME,SALARY_FROM
Health Care and Social Assistance,110926
Health Care and Social Assistance,90459
Information,187200
Information,48000
Health Care and Social Assistance,52000
Information,75700
Health Care and Social Assistance,54000
Health Care and Social Assistance,81494
Finance and Insurance,141440
Health Care and Social Assistance,81494
Information,206000
Finance and Insurance,102340
Information,146000
Finance and Insurance,118800
Information,206000
Finance and Insurance,66625
Finance and Insurance,150000
Finance and Insurance,114400
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,96326
Finance and Insurance,68640
Finance and Insurance,67000
Finance and Insurance,84000
Information,92700
Information,62400
Information,87166
Information,87166
Information,87166
Information,87166
Finance and Insurance,78800
Information,111480
Information,111480
Information,111480
Health Care and Social Assistance,66560
Information,111480
Finance and Insurance,161280
Information,111480
Health Care and Social Assistance,58500
Health Care and Social Assistance,60000
Finance and Insurance,113840
Information,250553
Information,54600
Finance and Insurance,113840
Information,250553
Finance and Insurance,88000
Information,63150
Finance and Insurance,81917
Information,240050
Finance and Insurance,139500
Finance and Insurance,120400
Finance and Insurance,72576
Health Care and Social Assistance,58240
Finance and Insurance,44937
Finance and Insurance,54373
Finance and Insurance,44937
Information,120100
Finance and Insurance,106935
Information,218888
Finance and Insurance,115300
Information,116900
Information,128310
Health Care and Social Assistance,124400
Finance and Insurance,70500
Information,128310
Health Care and Social Assistance,54000
Finance and Insurance,109130
Information,128310
Information,128310
Finance and Insurance,33280
Information,111480
Finance and Insurance,112400
Finance and Insurance,112400
Finance and Insurance,112400
Finance and Insurance,78800
Finance and Insurance,78800
Information,111480
Health Care and Social Assistance,74859
Finance and Insurance,52000
Information,171400
Information,110000
Finance and Insurance,43680
Health Care and Social Assistance,27300
Information,250553
Information,250553
Information,250553
Finance and Insurance,135300
Information,152500
Finance and Insurance,113840
Information,67100
Health Care and Social Assistance,60400
Finance and Insurance,113840
Finance and Insurance,139500
Finance and Insurance,87280
Finance and Insurance,72576
Finance and Insurance,72576
Health Care and Social Assistance,65000
Information,104740
Information,63003
Finance and Insurance,72576
Information,104500
Finance and Insurance,55000
Finance and Insurance,105600
Finance and Insurance,80496
Finance and Insurance,80496
Finance and Insurance,80496
Finance and Insurance,200000
Finance and Insurance,54995
Finance and Insurance,54995
Finance and Insurance,50000
Finance and Insurance,86840
Finance and Insurance,65000
Finance and Insurance,85010
Health Care and Social Assistance,67400
Finance and Insurance,71500
Finance and Insurance,60000
Information,206000
Information,94420
Information,206000
Finance and Insurance,102340
Information,206000
Finance and Insurance,102340
Finance and Insurance,110000
Information,206000
Information,78998
Finance and Insurance,102340
Finance and Insurance,88000
Finance and Insurance,57000
Information,71200
Finance and Insurance,78270
Health Care and Social Assistance,72886
Information,124800
Finance and Insurance,139500
Health Care and Social Assistance,51824
Information,87166
Information,154800
Information,154800
Finance and Insurance,84000
Health Care and Social Assistance,85238
Health Care and Social Assistance,70848
Finance and Insurance,94710
Finance and Insurance,87000
Health Care and Social Assistance,70000
Information,140700
Information,206000
Information,240050
Information,41990
Finance and Insurance,114720
Information,97400
Information,140000
Health Care and Social Assistance,85000
Health Care and Social Assistance,153500
Finance and Insurance,116500
Finance and Insurance,45760
Finance and Insurance,45760
Finance and Insurance,45760
Finance and Insurance,66450
Information,41600
Health Care and Social Assistance,37440
Information,70900
Information,124000
Health Care and Social Assistance,60000
Information,80900
Finance and Insurance,41600
Finance and Insurance,104700
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,69880
Health Care and Social Assistance,68964
Finance and Insurance,41600
Finance and Insurance,110000
Finance and Insurance,58300
Information,93400
Finance and Insurance,68200
Finance and Insurance,98960
Finance and Insurance,82783
Health Care and Social Assistance,70533
Health Care and Social Assistance,50225
Information,104740
Finance and Insurance,74000
Finance and Insurance,110594
Finance and Insurance,88000
Finance and Insurance,74000
Finance and Insurance,102000
Health Care and Social Assistance,104458
Finance and Insurance,33758
Health Care and Social Assistance,61214
Finance and Insurance,44937
Finance and Insurance,33758
Finance and Insurance,33758
Finance and Insurance,118800
Finance and Insurance,100000
Information,119350
Finance and Insurance,77300
Finance and Insurance,136571
Finance and Insurance,90300
Finance and Insurance,113840
Finance and Insurance,121770
Information,104740
Information,88500
Information,104740
Information,104740
Information,162000
Finance and Insurance,139500
Information,117000
Health Care and Social Assistance,135200
Information,111480
Finance and Insurance,41600
Finance and Insurance,105400
Finance and Insurance,41600
Health Care and Social Assistance,62400
Health Care and Social Assistance,57217
Finance and Insurance,80000
Information,123800
Information,51289
Finance and Insurance,81770
Health Care and Social Assistance,56500
Finance and Insurance,60829
Health Care and Social Assistance,45240
Finance and Insurance,88430
Health Care and Social Assistance,38043
Finance and Insurance,129100
Health Care and Social Assistance,28579
Finance and Insurance,92500
Information,166698
Information,111480
Information,111480
Information,111480
Information,111480
Finance and Insurance,108000
Information,111480
Information,111480
Information,86900
Health Care and Social Assistance,166400
Finance and Insurance,46530
Health Care and Social Assistance,57300
Finance and Insurance,76128
Finance and Insurance,61110
Finance and Insurance,81770
Information,117000
Health Care and Social Assistance,67400
Finance and Insurance,115300
Finance and Insurance,135700
Information,106000
Health Care and Social Assistance,75000
Finance and Insurance,88050
Health Care and Social Assistance,77436
Information,70000
Health Care and Social Assistance,71718
Health Care and Social Assistance,71718
Information,126000
Health Care and Social Assistance,71718
Information,121805
Health Care and Social Assistance,71718
Finance and Insurance,66000
Health Care and Social Assistance,67400
Information,154800
Finance and Insurance,149152
Finance and Insurance,149152
Finance and Insurance,98000
Information,119443
Finance and Insurance,110000
Information,63000
Finance and Insurance,136600
Health Care and Social Assistance,84573
Finance and Insurance,60500
Information,65000
Information,65000
Information,65000
Finance and Insurance,87280
Finance and Insurance,89990
Finance and Insurance,65792
Health Care and Social Assistance,166400
Information,112000
Health Care and Social Assistance,84300
Information,66560
Finance and Insurance,78400
Health Care and Social Assistance,69400
Finance and Insurance,85010
Health Care and Social Assistance,370275
Health Care and Social Assistance,90459
Health Care and Social Assistance,27300
Finance and Insurance,190000
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Finance and Insurance,89990
Finance and Insurance,100800
Finance and Insurance,96400
Finance and Insurance,95000
Finance and Insurance,216750
Information,90000
Finance and Insurance,142320
Health Care and Social Assistance,62200
Information,93496
Finance and Insurance,127000
Finance and Insurance,153500
Information,93600
Information,75000
Finance and Insurance,142320
Information,94420
Information,88500
Information,77600
Information,66206
Information,206000
Information,206000
Information,94420
Information,206000
Finance and Insurance,153500
Health Care and Social Assistance,43680
Health Care and Social Assistance,60000
Information,62400
Information,62400
Health Care and Social Assistance,87048
Finance and Insurance,72576
Finance and Insurance,111100
Finance and Insurance,153500
Finance and Insurance,142320
Information,209720
Health Care and Social Assistance,110000
Finance and Insurance,60000
Information,66700
Finance and Insurance,88500
Finance and Insurance,65000
Finance and Insurance,85000
Finance and Insurance,105000
Information,70800
Health Care and Social Assistance,48000
Finance and Insurance,115300
Information,159100
Information,104200
Finance and Insurance,104000
Finance and Insurance,124800
Information,180700
Finance and Insurance,200000
Information,180700
Finance and Insurance,54995
Information,180700
Finance and Insurance,200000
Information,58595
Finance and Insurance,78000
Finance and Insurance,115000
Information,109000
Information,71200
Information,71200
Finance and Insurance,86840
Finance and Insurance,86840
Finance and Insurance,86000
Finance and Insurance,115300
Information,70600
Finance and Insurance,95264
Health Care and Social Assistance,83200
Health Care and Social Assistance,67038
Health Care and Social Assistance,62200
Finance and Insurance,161280
Health Care and Social Assistance,77436
Finance and Insurance,107800
Finance and Insurance,70200
Finance and Insurance,68640
Finance and Insurance,90300
Finance and Insurance,90300
Health Care and Social Assistance,118657
Finance and Insurance,90300
Finance and Insurance,109130
Information,141000
Information,80800
Finance and Insurance,91100
Finance and Insurance,65000
Finance and Insurance,67000
Information,73786
Finance and Insurance,67000
Health Care and Social Assistance,90459
Information,129200
Health Care and Social Assistance,97698
Finance and Insurance,113000
Finance and Insurance,41600
Finance and Insurance,105301
Finance and Insurance,41600
Finance and Insurance,41600
Information,128310
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Information,128310
Finance and Insurance,195790
Information,128310
Information,128310
Information,128310
Information,91000
Health Care and Social Assistance,74922
Finance and Insurance,86840
Finance and Insurance,86840
Information,127200
Information,57810
Finance and Insurance,147150
Finance and Insurance,81286
Finance and Insurance,55000
Information,86000
Finance and Insurance,76900
Finance and Insurance,144400
Finance and Insurance,115300
Health Care and Social Assistance,44720
Finance and Insurance,88000
Finance and Insurance,108375
Finance and Insurance,95264
Finance and Insurance,65792
Finance and Insurance,67000
Finance and Insurance,105600
Finance and Insurance,153500
Finance and Insurance,125000
Finance and Insurance,111966
Information,110000
Finance and Insurance,102856
Finance and Insurance,90000
Information,206000
Information,85000
Finance and Insurance,102340
Finance and Insurance,68500
Finance and Insurance,79120
Information,114400
Finance and Insurance,153500
Finance and Insurance,84000
Information,70700
Information,146000
Health Care and Social Assistance,41600
Health Care and Social Assistance,75180
Finance and Insurance,45760
Information,111480
Finance and Insurance,63700
Finance and Insurance,98200
Health Care and Social Assistance,84178
Finance and Insurance,61110
Finance and Insurance,79135
Finance and Insurance,88000
Finance and Insurance,60500
Finance and Insurance,70200
Finance and Insurance,81917
Health Care and Social Assistance,84300
Information,64260
Finance and Insurance,238000
Finance and Insurance,85000
Finance and Insurance,83000
Finance and Insurance,107910
Finance and Insurance,86600
Finance and Insurance,121200
Finance and Insurance,83000
Finance and Insurance,118800
Health Care and Social Assistance,18720
Information,180835
Information,180835
Finance and Insurance,139500
Information,180835
Finance and Insurance,135700
Information,180835
Information,180835
Health Care and Social Assistance,49920
Information,180835
Finance and Insurance,113840
Information,180835
Information,180835
Information,180835
Information,51709
Information,170000
Information,111480
Information,111480
Health Care and Social Assistance,79269
Information,111480
Health Care and Social Assistance,120000
Finance and Insurance,71500
Health Care and Social Assistance,27300
Health Care and Social Assistance,27300
Finance and Insurance,50000
Finance and Insurance,56500
Information,66000
Information,102700
Finance and Insurance,80000
Finance and Insurance,93100
Finance and Insurance,91100
Finance and Insurance,225000
Finance and Insurance,87556
Finance and Insurance,100500
Finance and Insurance,60000
Health Care and Social Assistance,80000
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Finance and Insurance,96000
Health Care and Social Assistance,104458
Information,113000
Health Care and Social Assistance,104458
Information,86900
Finance and Insurance,80000
Finance and Insurance,47840
Information,58900
Finance and Insurance,88000
Health Care and Social Assistance,93000
Finance and Insurance,113810
Finance and Insurance,69000
Finance and Insurance,74000
Finance and Insurance,68640
Information,69992
Finance and Insurance,90000
Finance and Insurance,76800
Health Care and Social Assistance,83200
Information,50000
Information,121280
Finance and Insurance,95264
Information,93496
Information,115970
Finance and Insurance,59400
Health Care and Social Assistance,57325
Information,71200
Finance and Insurance,92040
Finance and Insurance,44937
Finance and Insurance,89990
Finance and Insurance,43800
Health Care and Social Assistance,84300
Finance and Insurance,137282
Finance and Insurance,74000
Information,92248
Finance and Insurance,87280
Finance and Insurance,81770
Finance and Insurance,94200
Finance and Insurance,96400
Finance and Insurance,90300
Finance and Insurance,115600
Finance and Insurance,81770
Information,137600
Finance and Insurance,58300
Finance and Insurance,71200
Finance and Insurance,76128
Finance and Insurance,37440
Information,77600
Health Care and Social Assistance,51000
Information,94420
Information,120400
Finance and Insurance,130000
Finance and Insurance,110000
Finance and Insurance,65000
Finance and Insurance,90300
Finance and Insurance,90300
Information,104740
Information,104740
Finance and Insurance,20800
Finance and Insurance,107120
Finance and Insurance,77100
Health Care and Social Assistance,73445
Information,76700
Finance and Insurance,99750
Finance and Insurance,43400
Finance and Insurance,99750
Finance and Insurance,99750
Finance and Insurance,97600
Finance and Insurance,43400
Information,146000
Finance and Insurance,43400
Finance and Insurance,99750
Information,33400
Information,33400
Information,33400
Finance and Insurance,115300
Health Care and Social Assistance,113100
Finance and Insurance,113840
Health Care and Social Assistance,59976
Finance and Insurance,59100
Finance and Insurance,114400
Finance and Insurance,106704
Health Care and Social Assistance,55000
Finance and Insurance,153500
Information,66700
Finance and Insurance,100500
Finance and Insurance,200000
Finance and Insurance,102340
Finance and Insurance,100400
Finance and Insurance,153500
Information,104740
Finance and Insurance,132000
Information,61650
Health Care and Social Assistance,81494
Finance and Insurance,64685
Information,141170
Health Care and Social Assistance,87900
Finance and Insurance,72000
Health Care and Social Assistance,68964
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Health Care and Social Assistance,35360
Finance and Insurance,58984
Finance and Insurance,153500
Finance and Insurance,109130
Health Care and Social Assistance,108600
Finance and Insurance,51600
Information,154850
Health Care and Social Assistance,52000
Health Care and Social Assistance,90459
Health Care and Social Assistance,71718
Health Care and Social Assistance,71718
Health Care and Social Assistance,71718
Health Care and Social Assistance,71718
Information,105000
Health Care and Social Assistance,71718
Information,180000
Finance and Insurance,120550
Finance and Insurance,77200
Health Care and Social Assistance,47000
Health Care and Social Assistance,140300
Health Care and Social Assistance,70000
Finance and Insurance,63700
Finance and Insurance,90000
Health Care and Social Assistance,90459
Health Care and Social Assistance,169400
Finance and Insurance,92114
Health Care and Social Assistance,90459
Information,104800
Finance and Insurance,77280
Information,86900
Finance and Insurance,200000
Information,118000
Information,70700
Finance and Insurance,99750
Finance and Insurance,43400
Information,75441
Finance and Insurance,99750
Finance and Insurance,43400
Health Care and Social Assistance,110926
Finance and Insurance,100000
Finance and Insurance,154000
Information,69900
Finance and Insurance,153920
Health Care and Social Assistance,83100
Information,136038
Finance and Insurance,55000
Finance and Insurance,113901
Health Care and Social Assistance,84000
Information,103600
Finance and Insurance,87360
Finance and Insurance,70200
Finance and Insurance,125760
Finance and Insurance,115300
Finance and Insurance,131600
Information,86900
Information,120100
Finance and Insurance,52500
Finance and Insurance,120400
Finance and Insurance,91800
Health Care and Social Assistance,67400
Information,62400
Information,80800
Finance and Insurance,67000
Finance and Insurance,105435
Finance and Insurance,67000
Finance and Insurance,46000
Finance and Insurance,109130
Finance and Insurance,59100
Health Care and Social Assistance,34320
Finance and Insurance,163600
Finance and Insurance,41600
Finance and Insurance,90000
Finance and Insurance,60000
Information,116900
Information,65000
Information,84300
Information,138500
Finance and Insurance,61110
Finance and Insurance,69000
Health Care and Social Assistance,70000
Finance and Insurance,153920
Finance and Insurance,90500
Finance and Insurance,153920
Information,75441
Finance and Insurance,60600
Finance and Insurance,97200
Finance and Insurance,85000
Finance and Insurance,72700
Finance and Insurance,99750
Health Care and Social Assistance,80725
Finance and Insurance,43400
Finance and Insurance,99750
Information,63000
Health Care and Social Assistance,25002
Finance and Insurance,93200
Information,170000
Finance and Insurance,81770
Finance and Insurance,55011
Finance and Insurance,61110
Finance and Insurance,100000
Finance and Insurance,50000
Information,68640
Information,157900
Finance and Insurance,83200
Health Care and Social Assistance,67400
Finance and Insurance,85500
Information,87166
Information,87166
Information,87166
Information,87166
Finance and Insurance,74000
Information,27040
Finance and Insurance,68200
Finance and Insurance,94200
Information,135000
Health Care and Social Assistance,62900
Finance and Insurance,71000
Finance and Insurance,78270
Finance and Insurance,112400
Finance and Insurance,78800
Finance and Insurance,115000
Finance and Insurance,78800
Finance and Insurance,70200
Information,176000
Finance and Insurance,46699
Finance and Insurance,160000
Information,59000
Finance and Insurance,104800
Health Care and Social Assistance,85000
Health Care and Social Assistance,89461
Finance and Insurance,64000
Information,111480
Finance and Insurance,58300
Information,77000
Information,111480
Finance and Insurance,42000
Finance and Insurance,96400
Finance and Insurance,45760
Information,88500
Information,78998
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Finance and Insurance,141440
Health Care and Social Assistance,90459
Health Care and Social Assistance,64000
Health Care and Social Assistance,90459
Information,80000
Health Care and Social Assistance,27300
Health Care and Social Assistance,27300
Health Care and Social Assistance,27300
Finance and Insurance,78800
Information,111480
Information,111480
Finance and Insurance,112400
Information,104200
Health Care and Social Assistance,49920
Health Care and Social Assistance,87900
Information,124000
Health Care and Social Assistance,116542
Health Care and Social Assistance,119267
Finance and Insurance,65000
Information,66900
Health Care and Social Assistance,80000
Information,98000
Information,111480
Health Care and Social Assistance,75020
Information,45760
Information,71200
Finance and Insurance,95264
Information,71200
Finance and Insurance,103700
Finance and Insurance,135000
Information,48000
Finance and Insurance,152400
Health Care and Social Assistance,70346
Information,111480
Information,111480
Finance and Insurance,80000
Finance and Insurance,90300
Information,111480
Information,111480
Finance and Insurance,85000
Information,154800
Finance and Insurance,149152
Information,86900
Finance and Insurance,113840
Finance and Insurance,176720
Finance and Insurance,105000
Health Care and Social Assistance,70970
Finance and Insurance,56500
Information,119443
Finance and Insurance,102340
Finance and Insurance,102340
Finance and Insurance,102340
Information,67082
Information,51709
Information,85000
Finance and Insurance,86840
Information,65000
Information,65000
Information,65000
Health Care and Social Assistance,106413
Health Care and Social Assistance,90459
Finance and Insurance,102500
Health Care and Social Assistance,90459
Finance and Insurance,64620
Information,100000
Finance and Insurance,92300
Finance and Insurance,120550
Information,67000
Finance and Insurance,58000
Finance and Insurance,105600
Finance and Insurance,102340
Finance and Insurance,105600
Finance and Insurance,65792
Finance and Insurance,58240
Finance and Insurance,42000
Health Care and Social Assistance,98900
Health Care and Social Assistance,90459
Health Care and Social Assistance,127600
Health Care and Social Assistance,135200
Information,100800
Health Care and Social Assistance,87714
Finance and Insurance,23000
Finance and Insurance,99660
Finance and Insurance,107657
Finance and Insurance,96471
Finance and Insurance,104800
Health Care and Social Assistance,49920
Health Care and Social Assistance,56407
Finance and Insurance,130000
Finance and Insurance,66450
Finance and Insurance,45760
Finance and Insurance,45760
Finance and Insurance,45760
Health Care and Social Assistance,82000
Information,41600
Information,41600
Finance and Insurance,60320
Finance and Insurance,66000
Information,130480
Health Care and Social Assistance,102168
Finance and Insurance,145600
Health Care and Social Assistance,113817
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Information,30000
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Health Care and Social Assistance,127295
Health Care and Social Assistance,104458
Health Care and Social Assistance,104458
Information,106000
Finance and Insurance,71805
Information,116900
Health Care and Social Assistance,150000
Finance and Insurance,87360
Information,172000
Information,136038
Finance and Insurance,78270
Information,174129
Health Care and Social Assistance,93000
Finance and Insurance,98000
Finance and Insurance,183000
Finance and Insurance,58000
Information,48194
Finance and Insurance,77436
Information,48194
Information,41600
Information,48194
Information,48194
Finance and Insurance,56992
Information,41309
Health Care and Social Assistance,62816
Finance and Insurance,53600
Health Care and Social Assistance,39520
Information,129500
Finance and Insurance,144400
Finance and Insurance,49900
Information,63150
Health Care and Social Assistance,120200
Finance and Insurance,81770
Finance and Insurance,79220
Finance and Insurance,91100
Information,69992
Information,127965
Health Care and Social Assistance,122040
Finance and Insurance,79135
Finance and Insurance,157352
Information,97800
Finance and Insurance,87360
Finance and Insurance,87360
Finance and Insurance,60000
Health Care and Social Assistance,51824
Information,78998
Information,106100
Finance and Insurance,73678
Finance and Insurance,91290
Finance and Insurance,67000
Finance and Insurance,35360
Finance and Insurance,88000
Information,134160
Information,50000
Information,48000
Information,96000
Information,116300
Finance and Insurance,115300
Finance and Insurance,115300
Finance and Insurance,105301
Finance and Insurance,45760
Health Care and Social Assistance,89565
Health Care and Social Assistance,89565
Information,66700
Information,116900
Health Care and Social Assistance,89565
Information,79000
Information,121000
Information,82000
Health Care and Social Assistance,89565
Information,65000
Health Care and Social Assistance,89565
Health Care and Social Assistance,89565
Information,88500
Health Care and Social Assistance,155700
Information,127200
Finance and Insurance,66000
Health Care and Social Assistance,106108
Information,127050
Finance and Insurance,68000
Finance and Insurance,116280
Health Care and Social Assistance,54018
Finance and Insurance,88000
Finance and Insurance,134960
Information,106000
Finance and Insurance,176720
Finance and Insurance,116280
Information,100000
Finance and Insurance,87280
Finance and Insurance,66977
Information,188698
Finance and Insurance,87000
Finance and Insurance,61110
Finance and Insurance,65000
Health Care and Social Assistance,55000
Finance and Insurance,60000
Information,72350
Finance and Insurance,77000
Finance and Insurance,78800
Finance and Insurance,78800
Finance and Insurance,78800
Information,111480
Finance and Insurance,57700
Health Care and Social Assistance,81494
Finance and Insurance,78800
Information,111480
Finance and Insurance,69360
Finance and Insurance,93100
Health Care and Social Assistance,110926
Information,80600
Information,142000
Finance and Insurance,153500
Finance and Insurance,65792
Health Care and Social Assistance,54018
Information,119443
Finance and Insurance,65792
Information,112000
Finance and Insurance,82783
Finance and Insurance,76516
Finance and Insurance,100400
Finance and Insurance,59305
Information,72000
Finance and Insurance,70200
Information,138500
Information,239000
Health Care and Social Assistance,84300
Finance and Insurance,66977
Finance and Insurance,36400
Finance and Insurance,66977
Finance and Insurance,66977
Finance and Insurance,46000
Finance and Insurance,100500
Finance and Insurance,91100
Finance and Insurance,67600
Finance and Insurance,95264
Information,113000
Finance and Insurance,67000
Finance and Insurance,108900
Finance and Insurance,67000
Finance and Insurance,67000
Information,73786
Finance and Insurance,67000
Finance and Insurance,96400
Information,161100
Health Care and Social Assistance,140600
Finance and Insurance,115600
Information,86210
Information,95000
Finance and Insurance,96471
Information,63150
Finance and Insurance,81770
Information,136500
Finance and Insurance,153500
Health Care and Social Assistance,47757
Information,87166
Information,87166
Information,87166
Finance and Insurance,75000
Finance and Insurance,52000
Information,250553
Information,132000
Information,105000
Finance and Insurance,68200
Information,66700
Finance and Insurance,58240
Health Care and Social Assistance,104458
Information,112000
Finance and Insurance,118800
Information,117000
Finance and Insurance,78000
Health Care and Social Assistance,67400
Finance and Insurance,59100
Finance and Insurance,67000
Finance and Insurance,44937
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,83980
Health Care and Social Assistance,141600
Information,145600
Finance and Insurance,54500
Finance and Insurance,86600
Finance and Insurance,52000
Finance and Insurance,73154
Information,146000
Finance and Insurance,147120
Finance and Insurance,120890
Finance and Insurance,78800
Finance and Insurance,78800
Finance and Insurance,112400
Finance and Insurance,145600
Health Care and Social Assistance,65000
Finance and Insurance,112000
Finance and Insurance,136200
Health Care and Social Assistance,96000
Finance and Insurance,59100
Finance and Insurance,59100
Finance and Insurance,74000
Finance and Insurance,94200
Finance and Insurance,74000
Finance and Insurance,74000
Finance and Insurance,68200
Finance and Insurance,88000
Finance and Insurance,68200
Health Care and Social Assistance,64542
Information,157200
Health Care and Social Assistance,31200
Finance and Insurance,144480
Finance and Insurance,121770
Finance and Insurance,121770
Information,65000
Health Care and Social Assistance,97885
Finance and Insurance,95000
Health Care and Social Assistance,80000
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Information,88500
Health Care and Social Assistance,90459
Information,179938
Finance and Insurance,127274
Information,52000
Information,208000
Health Care and Social Assistance,62200
Finance and Insurance,90300
Information,104740
Information,104740
Finance and Insurance,90300
Finance and Insurance,90300
Information,104740
Finance and Insurance,90300
Finance and Insurance,109130
Finance and Insurance,56000
Finance and Insurance,45760
Finance and Insurance,45760
Finance and Insurance,45760
Information,140000
Health Care and Social Assistance,58240
Finance and Insurance,67000
Finance and Insurance,169229
Finance and Insurance,44937
Finance and Insurance,113000
Finance and Insurance,117500
Finance and Insurance,98000
Information,95000
Finance and Insurance,54373
Information,123524
Finance and Insurance,84000
Information,78998
Finance and Insurance,115000
Health Care and Social Assistance,54000
Finance and Insurance,109130
Information,104740
Finance and Insurance,71655
Finance and Insurance,118800
Information,153608
Finance and Insurance,94200
Finance and Insurance,103000
Information,116900
Finance and Insurance,145600
Information,105300
Finance and Insurance,87135
Finance and Insurance,87135
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,108375
Finance and Insurance,105301
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,105301
Finance and Insurance,77280
Health Care and Social Assistance,31200
Finance and Insurance,115300
Finance and Insurance,72000
Information,41990
Finance and Insurance,88000
Finance and Insurance,111574
Finance and Insurance,85247
Finance and Insurance,105301
Health Care and Social Assistance,75795
Finance and Insurance,115300
Information,130000
Health Care and Social Assistance,98900
Finance and Insurance,153500
Information,120100
Finance and Insurance,57000
Finance and Insurance,131600
Finance and Insurance,130700
Finance and Insurance,59100
Information,129000
Information,136856
Information,52000
Health Care and Social Assistance,69134
Finance and Insurance,115300
Health Care and Social Assistance,95000
Finance and Insurance,115300
Finance and Insurance,115300
Finance and Insurance,95000
Information,60000
Information,51000
Health Care and Social Assistance,110926
Finance and Insurance,45760
Finance and Insurance,93517
Finance and Insurance,45760
Finance and Insurance,45760
Finance and Insurance,45760
Information,143557
Finance and Insurance,94200
Finance and Insurance,60500
Information,54000
Finance and Insurance,115300
Finance and Insurance,115300
Finance and Insurance,89600
Information,93600
Finance and Insurance,99750
Finance and Insurance,99750
Information,78000
Finance and Insurance,44886
Information,44300
Finance and Insurance,63000
Information,66700
Finance and Insurance,105301
Information,77800
Finance and Insurance,41600
Finance and Insurance,105301
Finance and Insurance,144400
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,41600
Finance and Insurance,84700
Information,88500
Finance and Insurance,145600
Health Care and Social Assistance,100000
Finance and Insurance,142320
Finance and Insurance,95680
Finance and Insurance,142320
Health Care and Social Assistance,37440
Finance and Insurance,125760
Finance and Insurance,100800
Information,110350
Finance and Insurance,80000
Finance and Insurance,86840
Finance and Insurance,78000
Finance and Insurance,104700
Finance and Insurance,75900
Finance and Insurance,115300
Finance and Insurance,57000
Finance and Insurance,90100
Information,66700
Information,90100
Finance and Insurance,86600
Finance and Insurance,86600
Finance and Insurance,60000
Finance and Insurance,90500
Finance and Insurance,60000
Finance and Insurance,125600
Information,115000
Health Care and Social Assistance,156562
Finance and Insurance,115300
Information,73786
Health Care and Social Assistance,45760
Finance and Insurance,115300
Information,100000
Information,65000
Information,63150
Finance and Insurance,77280
Finance and Insurance,120550
Finance and Insurance,121030
Information,136038
Finance and Insurance,70232
Health Care and Social Assistance,107088
Information,151800
Health Care and Social Assistance,26416
Information,100000
Finance and Insurance,91260
Finance and Insurance,61600
Finance and Insurance,95000
Health Care and Social Assistance,347075
Finance and Insurance,84000
Finance and Insurance,67100
Finance and Insurance,84000
Finance and Insurance,115300
Health Care and Social Assistance,54000
Finance and Insurance,95000
Finance and Insurance,99700
Finance and Insurance,62000
Finance and Insurance,150000
Finance and Insurance,84000
Information,111480
Finance and Insurance,59100
Health Care and Social Assistance,127600
Information,111480
Information,111480
Finance and Insurance,176720
Information,80800
Finance and Insurance,136200
Finance and Insurance,184891
Information,94420
Information,206000
Information,94420
Information,86900
Finance and Insurance,99160
Health Care and Social Assistance,174491
Finance and Insurance,103300
Health Care and Social Assistance,61200
Finance and Insurance,81005
Finance and Insurance,126000
Health Care and Social Assistance,61526
Information,78998
Information,78998
Finance and Insurance,115300
Information,71200
Finance and Insurance,115300
Finance and Insurance,96400
Information,90000
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Health Care and Social Assistance,90459
Finance and Insurance,127026
Health Care and Social Assistance,90459
Finance and Insurance,62057
Finance and Insurance,84000
Finance and Insurance,96000
Information,94000
Information,111480
Information,111480
Information,111480
Finance and Insurance,67000
Information,75000
Finance and Insurance,67000
Health Care and Social Assistance,89523
Information,74000
Health Care and Social Assistance,36400
Information,72800
Information,72800
Finance and Insurance,91100
Finance and Insurance,60500
Health Care and Social Assistance,73050
Finance and Insurance,82000
Information,345700
Finance and Insurance,114720
Information,111480
Finance and Insurance,141440
Information,150000
Health Care and Social Assistance,63440
Information,134900
Finance and Insurance,58302
Information,206000
Information,106666
Information,145600
Finance and Insurance,46000
Finance and Insurance,130270
Finance and Insurance,110000
Finance and Insurance,91100
Finance and Insurance,91100
Health Care and Social Assistance,62504
Health Care and Social Assistance,108160
Finance and Insurance,140000
Finance and Insurance,73000
Finance and Insurance,130000
Finance and Insurance,102340
Information,136038
