NAICS2_NAME,SKILL,skill_count
Finance and Insurance,"\"Azure Databricks\"",47
Finance and Insurance,"\"Data Mapping\"",124
Finance and Insurance,"\"Master Of Business Administration (MBA)\"",129
Health Care and Social Assistance,"\"Gap Analysis\"",19
Health Care and Social Assistance,"\"Data Quality\"",410
Finance and Insurance,"\"Data Processing\"",127
Information,"\"Transact-SQL\"",82
Finance and Insurance,"\"Oracle Hyperion Hfm\"",7
Information,"\"Incident Response\"",15
Information,"\"Performance Testing\"",8
Health Care and Social Assistance,"\"Genomics\"",16
Finance and Insurance,"\"Dynatrace\"",38
Finance and Insurance,"\"Azure DevOps\"",57
Health Care and Social Assistance,"\"Overcoming Obstacles\"",6
Finance and Insurance,"[
  \"User Story\"",33
Finance and Insurance,"\"Release Management\"",10
Health Care and Social Assistance,"\"Database Software\"",14
Finance and Insurance,"\"Package Testing\"",11
Finance and Insurance,"\"FedRAMP\"",2
Health Care and Social Assistance,"\"Indexing\"",2
Information,"\"Appdynamics\"",9
Finance and Insurance,"\"Risk Management Information Systems\"",6
Information,"\"Training Documentation\"",7
Information,"\"Performance Measurement\"",22
Information,"\"Proofreading\"",2
Information,"\"Accounting\"
]",23
Information,"\"Excel Formulas\"",51
Information,"\"Whole Genome Sequencing\"",2
Information,"\"Bloomberg Terminal\"
]",2
Information,"\"Oracle Discoverer\"",8
Information,"\"SAP Transportation Management (TM)\"",29
Information,"\"Application Design\"",2
Information,"\"Pointclickcare\"
]",1
Information,"\"Software Installation\"",3
Finance and Insurance,"\"Low-Income Housing Tax Credit\"",2
Finance and Insurance,"\"CyberArk\"",1
Information,"\"Itilv3\"",7
Information,"\"Quality Assurance\"
]",4
Finance and Insurance,"[
  \"Internet Hosting Service\"",2
Finance and Insurance,"\"Adobe Audience Manager\"",2
Health Care and Social Assistance,"\"Process Mapping\"
]",13
Information,"[
  \"Planning\"",13
Information,"\"Network Troubleshooting\"",2
Finance and Insurance,"\"Electrocardiography\"",1
Health Care and Social Assistance,"\"Peer-To-Peer\"
]",6
Health Care and Social Assistance,"\"Data Hub\"",5
Health Care and Social Assistance,"\"Internal Communications\"",2
Information,"\"Business Software\"",20
Health Care and Social Assistance,"\"Process Lifecycle\"",2
Health Care and Social Assistance,"\"Inventory Control\"",4
Finance and Insurance,"\"User Interface (UI) Design\"",8
Information,"\"NIST 800-37\"",2
Health Care and Social Assistance,"\"Information Integration\"",2
Health Care and Social Assistance,"[
  \"Apheresis\"
]",1
Finance and Insurance,"\"Internal Pay Equity\"",3
Information,"\"Infor Software\"",3
Health Care and Social Assistance,"\"RxNorm\"",2
Health Care and Social Assistance,"\"Cardiac Surgery\"",1
Finance and Insurance,"\"Systematic Trading\"",1
Health Care and Social Assistance,"\"Build Automation\"",1
Health Care and Social Assistance,"\"Community-Based Participatory Research\"",1
Health Care and Social Assistance,"\"Attribute Change Package\"",2
Finance and Insurance,"\"Proactivity\"
]",1
Health Care and Social Assistance,"\"Course Evaluations\"",3
Information,"\"MATLAB\"",4
Health Care and Social Assistance,"\"Office Procedures\"",3
Information,"\"Public Policies\"",1
Health Care and Social Assistance,"\"Wireless Paging Systems\"",1
Health Care and Social Assistance,"\"File Importing\"",1
Finance and Insurance,"\"Semantics\"",1
Health Care and Social Assistance,"\"Vendor Management\"
]",1
Finance and Insurance,"\"Sales Engineering\"",1
Information,"\"Comprehensive Income\"",1
Information,"\"Registered Nurse (RN)\"",2
Health Care and Social Assistance,"\"Business Continuity Risk\"",1
Information,"\"Influencing Skills\"",682
Finance and Insurance,"\"Mental Health\"",4
Finance and Insurance,"\"Speechwriting\"",8
Health Care and Social Assistance,"[
  \"Developmental Disabilities\"",8
Finance and Insurance,"\"Software Architecture\"",59
Health Care and Social Assistance,"\"Scheduling\"",272
Health Care and Social Assistance,"\"Epic EMR Certification\"",41
Information,"\"Coupa (Spend Management Software)\"",8
Health Care and Social Assistance,"\"Financial Statements\"",46
Finance and Insurance,"\"C (Programming Language)\"",30
Information,"\"Revenue Management\"",20
Health Care and Social Assistance,"\"Record Keeping\"",20
Health Care and Social Assistance,"\"Ongoing Professional Practice Evaluation (OPPE)\"",6
Health Care and Social Assistance,"\"Inventory Management\"",18
Information,"\"Adult Education\"",2
Information,"\"Channel Sales\"",2
Finance and Insurance,"\"Growth Mindedness\"",26
Finance and Insurance,"\"Okta\"",5
Health Care and Social Assistance,"\"Functional Dependencies\"
]",3
Health Care and Social Assistance,"\"Target Audience\"",10
Health Care and Social Assistance,"\"Interdisciplinary Collaboration\"",1
Health Care and Social Assistance,"\"Cyber Resilience\"",3
Finance and Insurance,"\"Radiology\"",12
Information,"\"Conflict Resolution\"",21
Finance and Insurance,"[
  \"Financial Analysis\"",6
Information,"\"Teleradiology\"",4
Information,"\"RxJS\"",17
Information,"\"XMLSpy\"",2
Finance and Insurance,"\"Business Education\"",2
Finance and Insurance,"[
  \"Flooring\"",2
Health Care and Social Assistance,"\"CompTIA Network+\"",3
Health Care and Social Assistance,"\"SAP Certified Application Professional\"",1
Information,"\"Test Data\"",5
Information,"[
  \"Scrum (Software Development)\"",3
Finance and Insurance,"\"Transformation Rules\"",3
Information,"\"Maintainability\"",4
Health Care and Social Assistance,"\"Compliance Management\"",1
Information,"\"Visual Analytics\"",3
Health Care and Social Assistance,"\"Medical Office Procedures\"",4
Information,"\"Communication Strategies\"",1
Health Care and Social Assistance,"\"Telecommuting\"",7
Health Care and Social Assistance,"\"Project Communications\"",1
Finance and Insurance,"\"Food Services\"",1
Finance and Insurance,"\"Microsoft Management Console\"",1
Health Care and Social Assistance,"\"Settlement\"",4
Health Care and Social Assistance,"\"Secure Application Development\"",1
Health Care and Social Assistance,"\"Sampling (Statistics)\"",1
Finance and Insurance,"\"ACL Analytics (Audit Command Language)\"",2
Information,"\"Conceptual Architecture\"",1
Information,"\"Human Factors Engineering\"",1
Finance and Insurance,"[
  \"Diagnostic Analysis\"",1
Finance and Insurance,"\"Drug Development\"",1
Information,"\"Program Assessment Rating Tool\"",1
Health Care and Social Assistance,"\"Market Dynamics\"",4
Health Care and Social Assistance,"\"Intercompany Reconciliations\"",1
Information,"\"Load Testing\"",3
Health Care and Social Assistance,"\"Service Delivery Improvement\"",2
Health Care and Social Assistance,"\"Slowly Changing Dimensions\"",1
Finance and Insurance,"\"Data Segmentation\"",1
Finance and Insurance,"[
  \"Syntax\"",1
Health Care and Social Assistance,"\"Bank Secrecy Act\"",1
Information,"\"LexisNexis\"",1
Finance and Insurance,"\"FoxPro\"",1
Information,"\"Static Program Analysis\"",1
Finance and Insurance,"\"Operational Performance Management\"
]",22
Information,"\"Reliability Engineering\"",2
Information,"\"Computer Science\"
]",881
Finance and Insurance,"\"Consumer Behaviour\"",32
Finance and Insurance,"\"Statistics\"",1101
Finance and Insurance,"\"Corporate Finance\"",150
Finance and Insurance,"\"Health Information Exchange (HIE)\"",1
Information,"\"Business Requirements\"",722
Health Care and Social Assistance,"\"Calculations\"",25
Finance and Insurance,"\"User Information\"
]",54
Finance and Insurance,"\"Adaptability\"",239
Information,"\"Decisiveness\"",14
Information,"\"System Configuration\"",97
Health Care and Social Assistance,"\"Multilingualism\"",21
Information,"\"Data Consistency\"",10
Health Care and Social Assistance,"\"PMI Professional in Business Analysis\"",3
Finance and Insurance,"\"Strategic Leadership\"",21
Information,"\"Document Management\"",8
Finance and Insurance,"\"Business Intelligence Architecture\"",1
Health Care and Social Assistance,"\"Informatics\"",63
Finance and Insurance,"\"Information Architecture\"",42
Health Care and Social Assistance,"\"Innovation\"
]",8
Health Care and Social Assistance,"\"Behavioral Health\"",31
Information,"\"Software Architecture\"",50
Information,"\"Docker Swarm\"",53
Health Care and Social Assistance,"\"Business Priorities\"",40
Health Care and Social Assistance,"\"Commercialization\"",6
Health Care and Social Assistance,"\"SQL (Programming Language)\"
]",17
Finance and Insurance,"\"Stakeholder Identification\"",15
Health Care and Social Assistance,"\"Personalized Service\"",4
Information,"\"Expectation Management\"",32
Health Care and Social Assistance,"\"Aurora (Operating System)\"",5
Finance and Insurance,"\"Forklift Certification\"",1
Finance and Insurance,"\"Clinical Study Design\"",21
Information,"\"Trustworthiness\"",15
Health Care and Social Assistance,"\"Build Tools\"",2
Information,"\"Blueprinting\"",14
Health Care and Social Assistance,"\"Mitigation\"",4
Finance and Insurance,"\"Page Layout\"",4
Finance and Insurance,"\"Security Administration\"",3
Health Care and Social Assistance,"\"Content Management\"",4
Information,"\"Customer Analytics\"",11
Information,"\"Style Guides\"",1
Information,"\"Results Focused\"",1
Health Care and Social Assistance,"\"Intensive Care Medicine\"",1
Finance and Insurance,"[
  \"SAP Fiori\"",1
Finance and Insurance,"[
  \"Safety Assurance\"",1
Finance and Insurance,"\"Student Information Systems\"",3
Finance and Insurance,"\"Feature Writing\"",2
Finance and Insurance,"\"Kerberos (Protocol)\"",2
Health Care and Social Assistance,"\"Configuration Management Databases\"",1
Finance and Insurance,"\"Cloud Managed Services\"",1
Finance and Insurance,"\"SAP Production Planning\"",3
Health Care and Social Assistance,"\"Mapping Software\"",1
Finance and Insurance,"\"Red Hat Enterprise Linux\"",1
Information,"\"ServiceNow Certified Application Developer\"",3
Health Care and Social Assistance,"\"Literacy\"",1
Information,"\"Mocha (JavaScript Framework)\"",1
Finance and Insurance,"[
  \"Cross-Functional Collaboration\"",1
Finance and Insurance,"\"Business Process Discovery\"",4
Finance and Insurance,"\"Oracle Apex\"",1
Finance and Insurance,"\"Requirements Elicitation\"",150
Information,"\"Business Operations\"",235
Health Care and Social Assistance,"\"Mentorship\"",287
Finance and Insurance,"\"Data Pipeline Management\"",20
Finance and Insurance,"\"Security Policies\"",194
Finance and Insurance,"\"Collaboration\"",238
Finance and Insurance,"\"RSA Archer\"",22
Finance and Insurance,"\"Selling Techniques\"",121
Finance and Insurance,"\"Stakeholder Management\"",161
Information,"[
  \"MySQL\"",31
Health Care and Social Assistance,"[
  \"Data Cleansing\"",8
Information,"\"Thought Leadership\"",179
Finance and Insurance,"\"NIST Cybersecurity Framework (CSF)\"",18
Health Care and Social Assistance,"\"Care Management\"",19
Finance and Insurance,"\"Product Strategy\"",83
Finance and Insurance,"\"Windows PowerShell\"",47
Health Care and Social Assistance,"\"HEDIS (Healthcare Effectiveness Data And Information Set)\"",59
Finance and Insurance,"\"Revenue Recognition\"",4
Information,"\"German Language\"",4
Information,"\"Econometrics\"",6
Information,"\"Construction\"",4
Finance and Insurance,"\"Service Delivery Improvement\"",10
Information,"\"Learning Styles\"",1
Finance and Insurance,"\"Telemetry\"
]",3
Finance and Insurance,"[
  \"Sensitivity Analysis\"",3
Information,"\"Business-To-Business (B2B) Marketing\"",5
Finance and Insurance,"\"Apigee\"",7
Finance and Insurance,"[
  \"Key Performance Indicators (KPIs)\"",2
Finance and Insurance,"\"Hypervisor\"",6
Information,"\"Architectural Planning\"",1
Finance and Insurance,"\"Inventory Forecasting\"",4
Health Care and Social Assistance,"\"Capability Development\"",6
Finance and Insurance,"\"Product Family Engineering\"",11
Health Care and Social Assistance,"\"Vendor Contracts\"",7
Health Care and Social Assistance,"\"Product Strategy\"",3
Information,"\"Incident Response Management\"",1
Health Care and Social Assistance,"\"Sterilization\"
]",1
Finance and Insurance,"\"Product Analysis\"",9
Health Care and Social Assistance,"\"Elementary Algebra\"",1
Finance and Insurance,"\"Erosions\"",1
Finance and Insurance,"\"Portfolio Investment\"",2
Health Care and Social Assistance,"\"Program Assessment Rating Tool\"",1
Finance and Insurance,"\"Business Liaison\"",13
Finance and Insurance,"\"Asynchronous Javascript and XML (AJAX)\"",5
Information,"[
  \"Plesiochronous Digital Hierarchy\"",1
Finance and Insurance,"\"Consultative Approaches\"",4
Information,"\"Composure\"",7
Information,"\"Internal Controls\"",8
Information,"\"Physical Inventory\"",3
Finance and Insurance,"\"Oracle Hyperion\"",8
Finance and Insurance,"\"Delivery Pipelines\"",2
Health Care and Social Assistance,"\"Lifecycle Management\"",8
Information,"\"Business Negotiation\"",4
Finance and Insurance,"\"AWS CLI (Command Line Interface)\"",1
Finance and Insurance,"\"Epic Bridges\"",1
Information,"\"Oracle Learning Management\"",5
Health Care and Social Assistance,"\"Data Availability\"",6
Information,"\"Criminal Investigation\"",2
Information,"\"Office Of Foreign Assets Controls\"",2
Finance and Insurance,"\"Marketing Effectiveness\"",7
Information,"\"Cisco Certified Network Professional\"",10
Finance and Insurance,"\"Pharmacy Benefit Management\"
]",2
Health Care and Social Assistance,"\"Terraform\"",1
Finance and Insurance,"\"Commercial Finance\"
]",1
Health Care and Social Assistance,"\"Emergency Medical Technician (EMT)\"",1
Information,"\"Network Layer\"",7
Health Care and Social Assistance,"\"Technical Supervision\"",2
Information,"\"Full Life Cycle Implementation\"",2
Health Care and Social Assistance,"\"Financial Monitoring\"",1
Finance and Insurance,"\"Continuous Deployment\"
]",2
Health Care and Social Assistance,"\"Greeting Customers\"",1
Health Care and Social Assistance,"[
  \"Data Distribution Services\"",1
Information,"\"Snowflake Schema\"",2
Information,"\"Database Encryption\"",1
Finance and Insurance,"\"Web Applications\"
]",1
Information,"\"Validation Controls\"",1
Finance and Insurance,"\"Troubleshooting (Problem Solving)\"",477
Information,"[
  \"Power BI\"",253
Information,"\"Data Reporting\"",97
Information,"\"Information Privacy\"",45
Finance and Insurance,"\"Data Retrieval\"",29
Finance and Insurance,"\"Mathematics\"
]",9
Finance and Insurance,"\"High-Level Architecture\"",9
Information,"\"Apache Airflow\"",128
Health Care and Social Assistance,"\"Relational Databases\"",80
Information,"\"Data Analysis Expressions (DAX)\"",60
Finance and Insurance,"[
  \"Banking Services\"",1
Health Care and Social Assistance,"\"American Medical Technologists (AMT) Certification\"",4
Health Care and Social Assistance,"\"Business Objects Framework\"",67
Finance and Insurance,"\"Segmentation Analysis\"",6
Health Care and Social Assistance,"\"Software Engineering\"",23
Finance and Insurance,"\"Quality Improvement\"",45
Finance and Insurance,"\"Zendesk\"",5
Finance and Insurance,"[
  \"Agile Methodology\"",9
Information,"\"Business Communication\"",3
Information,"\"Joint Application Design (JAD)\"",3
Finance and Insurance,"\"Applications Of Artificial Intelligence\"",2
Health Care and Social Assistance,"\"Engineering Design Process\"",3
Finance and Insurance,"\"Missing Data\"
]",2
Health Care and Social Assistance,"\"Quotations\"",1
Information,"\"Knowledge Management\"",16
Information,"\"Data Element\"",8
Information,"\"Software Development Life Cycle\"
]",24
Information,"\"Control-M (Batch Scheduling Software)\"",8
Information,"\"Demand Planning\"",13
Health Care and Social Assistance,"\"Technical Management\"",9
Finance and Insurance,"\"Calculus\"",2
Health Care and Social Assistance,"\"Vaccines\"",5
Finance and Insurance,"\"SAP Fieldglass (Vendor Management Tool)\"",5
Information,"[
  \"Self-Motivation\"",2
Health Care and Social Assistance,"\"Social Security\"",2
Information,"\"Wearables\"",1
Information,"\"Virtual Machines\"",4
Information,"\"Oracle Reports\"",3
Finance and Insurance,"\"z/OS\"",6
Finance and Insurance,"\"Informatica Master Data Management\"
]",2
Finance and Insurance,"\"Leveraged Buyout\"",2
Finance and Insurance,"\"Apache Hive\"
]",6
Information,"\"Advertising Mail\"",1
Finance and Insurance,"[
  \"Infrastructure Security\"",3
Health Care and Social Assistance,"\"JDeveloper\"",1
Finance and Insurance,"\"Staffing Metrics\"",1
Finance and Insurance,"\"PL/I (Procedural Programming Language)\"",2
Information,"[
  \"Project Accounting\"",1
Information,"\"Inventory Planning\"",1
Health Care and Social Assistance,"\"Cost Estimation Models\"",2
Health Care and Social Assistance,"\"Training Datasets\"",1
Health Care and Social Assistance,"\"Spatial Analysis\"",1
Finance and Insurance,"\"Procedural Programming\"",1
Information,"\"Supply And Demand\"",1
Information,"\"Software Estimation\"",1
Health Care and Social Assistance,"\"Hierarchical And Recursive Queries In SQL\"",1
Information,"\"Public Health Informatics\"",1
Health Care and Social Assistance,"\"NIST Cybersecurity Framework (CSF)\"",1
Health Care and Social Assistance,"\"Email Etiquette\"",1
Finance and Insurance,"\"Cloud Security Strategy\"
]",1
Health Care and Social Assistance,"\"Change Management\"
]",1
Health Care and Social Assistance,"\"Service Access Point\"",1
Health Care and Social Assistance,"\"Machine Learning Model Monitoring And Evaluation\"",1
Finance and Insurance,"\"Application Specific Integrated Circuits\"",1
Information,"\"Low Latency\"",1
Finance and Insurance,"[
  \"Data Architecture\"",1
Information,"\"Sampling (Statistics)\"",8
Finance and Insurance,"\"Informatics\"",48
Finance and Insurance,"\"Project Management Professional Certification\"",107
Finance and Insurance,"\"Data Strategy\"",221
Health Care and Social Assistance,"\"Regulatory Compliance\"",97
Information,"\"Governance\"",557
Finance and Insurance,"\"Product Quality (QA/QC)\"",5
Information,"\"Materials Management\"",27
Finance and Insurance,"\"Equities\"",122
Health Care and Social Assistance,"[
  \"Reliability\"",34
Information,"\"Back End (Software Engineering)\"",22
Health Care and Social Assistance,"\"Customer Data Management\"",87
Information,"\"Customer Inquiries\"",18
Health Care and Social Assistance,"\"Systems Of Measurement\"",2
Finance and Insurance,"\".NET Framework\"",34
Finance and Insurance,"\"Accounts Receivable\"",31
Finance and Insurance,"\"Query Optimization\"",18
Health Care and Social Assistance,"\"Cost Containment\"",4
Finance and Insurance,"\"Compliance Risk Management\"",31
Finance and Insurance,"\"Static Application Security Testing (SAST)\"",2
Information,"\"Software Development Methodologies\"",5
Information,"\"Six Sigma Methodology\"",3
Information,"[
  \"Low Latency\"",1
Health Care and Social Assistance,"\"Prototyping\"",27
Health Care and Social Assistance,"\"Service Innovation\"
]",3
Health Care and Social Assistance,"\"Organ And Tissue Donation\"",3
Health Care and Social Assistance,"\"Grammar\"",7
Information,"\"Office 365 Exchange Online\"",2
Finance and Insurance,"\"SASS\"",1
Health Care and Social Assistance,"\"Warehousing\"",41
Health Care and Social Assistance,"\"Manufacturing Operations\"",2
Information,"\"Business Networking\"",2
Information,"\"Call Center Technology\"
]",10
Health Care and Social Assistance,"\"Payroll Computation\"",2
Finance and Insurance,"\"Loan Documentation\"
]",1
Health Care and Social Assistance,"\"Product Lifecycle Management\"
]",1
Finance and Insurance,"\"Reading Comprehension\"",1
Finance and Insurance,"\"Cloud-Native Applications\"
]",2
Finance and Insurance,"\"Conceptual Data Modeling\"",4
Health Care and Social Assistance,"\"Computer Terminals\"",7
Health Care and Social Assistance,"\"Biochemistry\"",4
Information,"\"Cooperative Learning\"",2
Information,"\"Lifting Ability\"
]",1
Finance and Insurance,"\"Speech Analytics\"",3
Information,"\"Bigcommerce\"",3
Finance and Insurance,"\"Xen Servers\"",2
Finance and Insurance,"[
  \"Build Process\"",1
Information,"\"Directory Structure\"",1
Information,"\"Security Management\"",1
Finance and Insurance,"\"Behavioral Modeling\"",1
Health Care and Social Assistance,"\"Certified Medical Reimbursement Specialist\"",1
Health Care and Social Assistance,"\"Control Objectives For Information And Related Technology (COBIT)\"",2
Health Care and Social Assistance,"\"Subcontracting\"",2
Finance and Insurance,"\"Argo CD\"",1
Information,"\"SAP Certified Application Associate\"",1
Health Care and Social Assistance,"\"Biometrics\"",1
Information,"\"Database Security\"
]",2
Information,"\"Debits And Credits\"",1
Health Care and Social Assistance,"\"Writing\"",512
Finance and Insurance,"\"Coordinating\"",690
Information,"\"Computer Science\"",515
Finance and Insurance,"\"Curiosity\"",104
Finance and Insurance,"\"Google Analytics\"",25
Finance and Insurance,"\"Word Processing\"",98
Finance and Insurance,"\"Data Transformation\"",256
Information,"\"Multitasking\"",146
Finance and Insurance,"\"Life Coaching\"",6
Health Care and Social Assistance,"\"Microsoft Visio\"",89
Information,"\"RESTful API\"",54
Finance and Insurance,"\"Usability\"",197
Finance and Insurance,"\"Netezza\"",105
Information,"\"Microsoft Dynamics\"",3
Information,"\"Network Analysis\"",7
Finance and Insurance,"\"Business Logic\"",10
Finance and Insurance,"[
  \"Taxonomy\"",6
Information,"\"Profit And Loss (P&L) Management\"",17
Finance and Insurance,"[
  \"Effective Communication\"",114
Finance and Insurance,"\"Query Performance\"",5
Finance and Insurance,"\"Business To Business\"",63
Finance and Insurance,"\"Operations Analytics\"",18
Information,"\"Earned Value Management\"",1
Finance and Insurance,"\"Linear Model\"",2
Information,"\"Biology\"",2
Information,"\"Organizational Strategy\"",7
Information,"\"Adobe Experience Cloud\"",24
Health Care and Social Assistance,"[
  \"Chassis\"",1
Health Care and Social Assistance,"\"Storage Devices\"",1
Information,"\"Corporate Security\"",7
Information,"\"Language Model\"",1
Finance and Insurance,"\"Marketing Strategies\"",15
Finance and Insurance,"\"IBM Cognos Business Intelligence\"",6
Health Care and Social Assistance,"\"Interface Design\"",2
Information,"\"Packaging And Labeling\"",13
Information,"[
  \"Governance Risk Management And Compliance\"",3
Finance and Insurance,"[
  \"Excel Formulas\"",1
Information,"\"Verification And Validation\"",11
Health Care and Social Assistance,"\"Neonatology\"",2
Health Care and Social Assistance,"[
  \"Invoicing\"",7
Health Care and Social Assistance,"\"Procure-To-Pay (PTP)\"",2
Finance and Insurance,"\"Adobe Creative Suite\"
]",2
Information,"\"Services Marketing\"",2
Health Care and Social Assistance,"\"Enterprise Information Management\"",1
Information,"\"Landscape Maintenance\"",1
Health Care and Social Assistance,"[
  \"Grant Applications\"",1
Finance and Insurance,"\"Market Maker\"",1
Health Care and Social Assistance,"\"Specimen Labeling\"
]",1
Finance and Insurance,"\"Apache OpenOffice\"",3
Information,"\"Company Structure\"",2
Finance and Insurance,"\"Project Planning\"
]",1
Finance and Insurance,"\"Epic Clarity\"",2
Information,"\"User Segmentation\"",2
Information,"\"Information Architecture\"
]",6
Finance and Insurance,"\"Marketing Planning\"",1
Finance and Insurance,"\"Service-Level Agreement\"
]",1
Information,"\"Oracle Linux\"",1
Information,"\"Microsoft Certified Professional\"
]",1
Finance and Insurance,"\"RAID\"",2
Finance and Insurance,"\"Security Assertion Markup Language (SAML)\"",4
Information,"\"Barcoding\"",1
Finance and Insurance,"\"Category Strategy\"",1
Finance and Insurance,"\"Project Sponsorship\"",12
Finance and Insurance,"\"Application Layers\"",1
Information,"\"Document-Oriented Databases\"
]",4
Finance and Insurance,"\"Active Server Pages (ASP)\"",1
Finance and Insurance,"\"Vision Document\"
]",1
Information,"[
  \"Teamcenter (PLM Software)\"",1
Finance and Insurance,"\"Liability Insurance\"",2
Information,"\"Geopolitics\"",1
Finance and Insurance,"\"Korn Shell\"",1
Health Care and Social Assistance,"\"Patient Advocacy\"",1
Information,"\"Joint Ventures\"",1
Health Care and Social Assistance,"[
  \"Cardiopulmonary Resuscitation (CPR) Certification\"",1
Health Care and Social Assistance,"\"Cloud Computing\"",25
Health Care and Social Assistance,"\"Technical Debt\"",11
Health Care and Social Assistance,"\"Information Technology Infrastructure Library\"",18
Finance and Insurance,"\"Internet Services\"",307
Information,"\"Self-Motivation\"",327
Health Care and Social Assistance,"\"Business Operations\"",126
Information,"\"Business Continuity Planning\"",52
Health Care and Social Assistance,"\"Critical Thinking\"",199
Information,"\"Unstructured Data\"",229
Information,"\"Release Management\"",10
Information,"\"Data Strategy\"",84
Information,"\"Analytical Thinking\"",134
Finance and Insurance,"\"Front End (Software Engineering)\"",32
Finance and Insurance,"\"General Ledger\"",53
Information,"\"Conceptual Data Modeling\"",4
Information,"\"Secure Remote Password Protocols\"",4
Health Care and Social Assistance,"\"Enterprise Application Software\"",28
Information,"\"Nagios\"",7
Information,"\"Workflow Automation\"",108
Information,"[
  \"Strategic Planning\"",1
Information,"\"Cost Structures\"",4
Health Care and Social Assistance,"\"Operational Reporting\"",10
Health Care and Social Assistance,"\"Qualitative Data Analysis\"",11
Information,"\"Medical Devices\"",4
Information,"\"Needs Assessment\"",19
Finance and Insurance,"\"Process Safety\"",1
Finance and Insurance,"\"Expectation Management\"
]",7
Finance and Insurance,"[
  \"Business Continuity\"",3
Health Care and Social Assistance,"[
  \"Forecasting Management\"",3
Finance and Insurance,"\"Multi-Factor Authentication\"",2
Finance and Insurance,"\"Bank Examination\"",6
Finance and Insurance,"\"Project Proposals\"
]",2
Finance and Insurance,"\"Database As A Service (DBaaS)\"",2
Finance and Insurance,"\"Transformer (Machine Learning Model)\"",1
Information,"[
  \"Marketo\"",1
Finance and Insurance,"\"SAP Configuration\"
]",1
Information,"[
  \"Outliers\"",2
Health Care and Social Assistance,"\"Splunk\"",2
Health Care and Social Assistance,"\"Task Management\"",4
Information,"\"Casualty Insurance\"",4
Health Care and Social Assistance,"\"Distribution Strategies\"",2
Information,"\"Bond Credit Rating\"",1
Information,"\"Cross-Docking\"
]",4
Health Care and Social Assistance,"\"Logical Data Models\"",5
Information,"\"Consumer Sales\"",2
Information,"\"Application Data\"",3
Finance and Insurance,"\"Network Bridges\"",2
Health Care and Social Assistance,"[
  \"Leadership\"",1
Finance and Insurance,"\"Healthcare Reforms\"",2
Finance and Insurance,"\"Managed Services\"
]",1
Information,"\"Risk Modeling\"",2
Health Care and Social Assistance,"\"Development Management\"",2
Finance and Insurance,"\"Mortgage Insurance\"",1
Information,"\"Customer Relationship Management (CRM) Software\"",1
Information,"\"Audience Management\"",2
Information,"\"Internet And Computing Core Certification\"
]",1
Health Care and Social Assistance,"\"Messaging Pattern\"",1
Information,"\"Digital Project Management\"",1
Finance and Insurance,"\"Contingency Tables\"",1
Finance and Insurance,"\"Common Desktop Environments\"",2
Information,"\"Retail Banking\"",1
Finance and Insurance,"\"Talent Sourcing\"",1
Finance and Insurance,"\"OPNET\"",1
Health Care and Social Assistance,"\"Ab Initio (Software)\"
]",1
Finance and Insurance,"\"Web Application Frameworks\"",1
Finance and Insurance,"\"Call Center Technology\"",1
Finance and Insurance,"\"Oracle Certified Master (OCM)\"
]",1
Information,"\"Feature Selection\"",1
Health Care and Social Assistance,"\"Tutorials\"",1
Health Care and Social Assistance,"\"Non-Profit Operations\"",1
Finance and Insurance,"\"Interviewing Skills\"
]",1
Health Care and Social Assistance,"\"Safety Training\"",1
Finance and Insurance,"\"English Language\"",217
Finance and Insurance,"\"Data Pipelines\"",183
Finance and Insurance,"\"Lean Manufacturing\"
]",29
Information,"\"Microsoft Office\"",151
Health Care and Social Assistance,"\"Drilldown\"",7
Health Care and Social Assistance,"\"Employee Retention\"",1
Health Care and Social Assistance,"\"Apache OpenOffice\"",7
Information,"\"Network Switches\"",4
Health Care and Social Assistance,"\"Security Patterns\"",1
Health Care and Social Assistance,"\"Utilization Management\"",28
Finance and Insurance,"[
  \"MuleSoft\"",6
Finance and Insurance,"\"Ethical AI\"",18
Information,"\"Cloud Engineering\"",14
Information,"\"Content Creation\"",14
Information,"\"Consultative Selling\"",3
Finance and Insurance,"\"Digital Assets\"",2
Information,"\"Encryption\"",26
Finance and Insurance,"\"MLflow\"",2
Information,"\"System Support\"",6
Finance and Insurance,"\"Financial Acumen\"",19
Finance and Insurance,"\"Data Blending\"",6
Health Care and Social Assistance,"\"Failure Causes\"",2
Finance and Insurance,"\"Dealing With Ambiguity\"",29
Finance and Insurance,"\"Alternative Education\"
]",4
Health Care and Social Assistance,"\"Financial Software\"
]",1
Finance and Insurance,"\"ASC 740 (Accounting For Income Taxes)\"",1
Health Care and Social Assistance,"\"Cisco Unified Communications Manager\"",1
Health Care and Social Assistance,"\"Nurse Education\"",1
Finance and Insurance,"\"Apptio (Financial Software)\"",5
Finance and Insurance,"\"Swaption\"",1
Finance and Insurance,"\"Financial Policy\"
]",1
Finance and Insurance,"\"Electronic Engineering\"",2
Health Care and Social Assistance,"\"Forklift Certification\"",2
Finance and Insurance,"\"Franchising\"",4
Information,"\"Human Capital\"",2
Information,"[
  \"Facilities Planning\"",1
Health Care and Social Assistance,"\"SAP Supply Chain Management (SCM)\"",3
Finance and Insurance,"\"Environmental Resource Management\"",1
Health Care and Social Assistance,"\"Positive Behavior Support\"",1
Health Care and Social Assistance,"\"SAP Fiori\"",1
Finance and Insurance,"\"Encompass (Mortgage Software)\"",3
